@CMODelhi,O
sir,O
4,O
covid+,O
patients,O
are,O
at,O
E-21,B-org
1st,O
flr,O
shivaji,O
road,B-geo
adarsh,B-geo
nagar,I-geo
ext.,O
Delhi-110033,O
in,O
North,B-geo
distt.,O
Contact,O
detail,O
ashok,O
singhal,O
mob.09899804043.i,O
have,O
informed,O
@PawanSharma_AAP@SatyendarJain,O
many,O
times,O
but,O
no,O
response,O
recd,O
yet.,O
Sir,O
pls,O
do,O
smting.,O
PPHF,B-org
and,I-org
Wipro,I-org
Foundation,I-org
partnered,O
with,O
Honourable,B-org
MLA,I-org
Pawan,I-org
Kumar,I-org
"Sharma,",I-org
Adarsh,B-geo
nagar,I-geo
"Constituency,",I-org
N.C.T,I-org
of,I-org
Delhi,I-geo
to,O
fight,O
COVID,O
19,O
by,O
installing,O
10-foot,O
operated,O
hand,O
washing,O
stations,O
in,O
his,O
constituency.,O
@MoHFW_INDIA,O
@PIB_India,O
@PMOIndia,O
@ArvindKejriwal,O
#COVID2019indiapic.twitter.com/pxAFpBkGN1,O
@CovidIndiaSeva,O
pls,O
help,O
person,O
with,O
covid,O
symptoms,O
but,O
nobody,O
coming,O
for,O
help.,O
Health,O
deteriorating,O
day,O
by,O
day.,O
Pls,O
help,O
Patient,O
Name,B-per
Kiran,I-per
Verma,I-per
52,O
yrs,O
Address-c,O
80,O
gali,O
no6,O
majlis,O
park,O
adarsh,B-geo
nagar,I-geo
delhi,O
33,B-tim
Mobile-9818665158,I-tim
@ArvindKejriwal,O
Hon.,B-org
"CM,",I-org
Delhi,B-geo
I'm,O
a,O
resident,O
of,O
Adarsh,B-geo
"Nagar,",I-geo
NW,I-geo
"District,",I-org
Delhi.,I-geo
Currently,O
there,O
are,O
46,O
COVID-19,O
+,O
cases,O
here,O
with,O
multiple,O
deaths,O
as,O
per,O
Aarogya,B-per
Setu,I-per
app,O
on,O
30/04/2020.,O
Still,O
my,O
area,O
hasn't,O
been,O
sealed,O
yet,O
&,O
no,O
testing,O
is,O
taking,O
place,O
Kindly,O
look,O
into,O
this,O
pic.twitter.com/pHqainDeGc,O
A,O
month,O
into,O
"lockdown,",O
two,O
more,O
zones,O
were,O
added,O
to,O
the,O
list,O
-,O
areas,O
from,O
Kotla,B-geo
Mubarakpur,I-geo
and,O
two,O
streets,O
from,O
Majlis,B-geo
Park,I-geo
in,O
Adarsh,B-geo
Nagar.,I-geo
Delhi’s,O
Covid-19,O
containment,O
zones,O
near,O
100-mark.,O
Complete,O
list,O
of,O
97,O
zones,O
here,O
https://www.hindustantimes.com/india-news/delhi-s-covid-19-containment-zones-near-100-mark-complete-list-of-97-zones-here/story-v0RPKaYGH5abrkUOUj23oO.html,O
…,O
@PawanSharma_AAP,O
@ArvindKejriwal,O
@drharshvardhan,O
This,O
is,O
to,O
bring,O
in,O
your,O
urgent,O
attention,O
that,O
6,O
days,O
before,O
a,O
covid,O
-19,O
+ve,O
case,O
was,O
traced,O
from,O
A-30,B-org
Panchwati,I-org
Adarsh,B-geo
Nagar,I-geo
Delhi,I-geo
-110033,O
",Today",B-tim
1,I-tim
more,I-tim
+ve,O
case,O
from,O
the,O
same,O
household.,O
Kindly,O
seal,O
the,O
premises,O
to,O
stop,O
the,O
spread,O
Operation,O
of,O
freight,O
trains,O
is,O
continuing,O
while,O
passenger,O
train,O
services,O
are,O
suspended,O
in,O
wake,O
of,O
COVID-19.,O
Operating,O
staff,O
on,O
"duty,",O
are,O
wearing,O
mask,O
and,O
maintaining,O
social,O
"distancing,",O
at,O
Adarsh,B-geo
Nagar,I-geo
railway,I-geo
station,I-geo
of,B-org
Delhi,I-geo
Division.,I-org
@RailMinIndia,O
@RailwayNorthernpic.twitter.com/IU1IZJCZra,O
Operation,O
of,O
freight,O
trains,O
is,O
continuing,O
while,O
passenger,O
train,O
services,O
are,O
suspended,O
in,O
wake,O
of,O
COVID-19.,O
Operating,O
staff,O
on,O
"duty,",O
are,O
wearing,O
mask,O
and,O
maintaining,O
social,O
"distancing,",O
at,O
Adarsh,B-geo
Nagar,I-geo
railway,I-geo
station,I-geo
of,B-org
Delhi,I-geo
Division.,I-org
@RailMinIndia,O
@RailwayNorthernpic.twitter.com/xiqhclAHOb,O
Operation,O
of,O
freight,O
trains,O
is,O
continuing,O
while,O
passenger,O
train,O
services,O
are,O
suspended,O
in,O
wake,O
of,O
COVID-19.,O
Operating,O
staff,O
on,O
"duty,",O
are,O
wearing,O
mask,O
and,O
maintaining,O
social,O
"distancing,",O
at,O
Adarsh,B-geo
Nagar,I-geo
station,I-geo
of,B-org
Delhi,B-org
Division.,I-org
@RailMinIndia,O
@RailwayNorthernpic.twitter.com/fGExurLSmm,O
Operation,O
of,O
freight,O
trains,O
is,O
continuing,O
while,O
passenger,O
train,O
services,O
are,O
suspended,O
in,O
wake,O
of,O
COVID-19.,O
Operating,O
staff,O
on,O
"duty,",O
are,O
wearing,O
mask,O
and,O
maintaining,O
social,O
"distancing,",O
at,O
Adarsh,B-geo
Nagar,I-geo
station,O
of,B-org
Delhi,I-geo
Division.,I-org
@RailMinIndia,O
@RailwayNorthernpic.twitter.com/8FkVUGMx8A,O
Operation,O
of,O
freight,O
trains,O
is,O
continuing,O
while,O
passenger,O
train,O
services,O
are,O
suspended,O
in,O
wake,O
of,O
COVID-19.,B-org
Station,I-geo
Master,I-org
on,O
duty,O
at,O
Adarsh,B-geo
Nagar,I-geo
railway,O
station,O
of,B-org
Delhi,I-geo
Division,I-org
wearing,O
mask,O
and,O
maintaining,O
social,O
distancing.,O
pic.twitter.com/ejaR1jL709,O
#AMIT,O
SHAH,O
Nein,I-org
LNJP,B-geo
Hospital,I-geo
Ka,I-org
Daura,I-org
Kiya.,I-org
Achha,I-org
Hota,I-org
Ki,I-org
AMIT,I-org
SHAH,I-org
MCD,I-org
HOSPITALs-,O
AIIMS-,B-art
RML,I-art
Etc.,I-art
KA,I-art
Dora,I-art
Bhi,I-art
Karte.,I-art
DELHI,I-art
Mein,I-art
Hi,I-art
NEHIN,I-art
SAMASAT,I-art
BHARAT,I-art
Mein,I-art
#Covid_19,I-art
India,B-geo
Cases,I-art
Ki,I-art
Buri,I-art
Haalat,I-art
Hai.,I-art
Jiska,I-art
Jimma,I-art
Rajyon,I-art
Ke,I-art
Saath,I-art
KENDAR,I-art
SARKAR,I-art
Ka,I-art
Bhi,I-art
"Hai,",I-art
Jismein,I-art
SARKAR,I-art
Nakam,I-art
Rehi,I-art
New,B-geo
Delhi:,I-geo
AIIMS,I-geo
sets,O
up,O
24x7,O
COVID-19,O
helpline,O
number,O
https://www.dnaindia.com/india/report-new-delhi-aiims-sets-up-24x7-covid-19-helpline-number-2828036,O
…,O
You're,O
saying,O
Delhi's,O
healthcare,O
is,O
worse,O
than,O
other,O
states?,O
Is,O
that,O
why,O
all,O
MPs,O
and,O
big,O
politicians,O
come,O
to,O
AIIMS,B-geo
for,O
treatment?,O
Even,O
before,O
covid,O
there,O
were,O
long,O
lines,O
outside,O
OPD,B-org
of,I-org
Aiims,I-geo
of,O
people,O
from,O
all,O
over,O
the,O
"country,",O
especially,O
"UP,",O
"BIHAR,",B-geo
HARYANA,B-geo
AND,I-org
RAJASTHAN.,I-geo
Delhi,B-per
Govt,I-per
must,O
take,O
over,O
gangaram,O
hospital,O
mgmt,O
&,O
convert,O
it,O
to,O
AIIMS,B-geo
2,I-org
@LtGovDelhi,I-org
Sack,I-org
all,O
criminal,O
billing,O
section,O
fr,O
fleecing,O
Patients.,O
11,O
lacks,O
from,O
covid,O
PATIENT,O
&,O
killed,O
the,O
person,O
@drharshvardhan,O
@AmitShah,B-org
@BJP4Delhi,I-org
@ABVPDelhi,I-org
Fix,I-org
PVT,I-org
billing,O
charges,O
Amit,B-per
Shah,I-per
is,O
visiting,O
Delhi,B-geo
Govt,I-org
Hospital,I-geo
to,O
review,O
preparedness,O
to,O
handle,O
Covid,O
care.....Good.....Hope,O
he,O
will,O
also,O
visit,O
"AIIMS,",B-geo
Safdarjung,I-geo
&,I-org
RML,I-geo
",",O
other,O
central,O
govt,O
run,O
hospitals,O
&,B-org
MCD,I-org
hospitals,O
too,O
......,O
#DelhiFightsCorona,O
Delhi:,B-per
Dial,I-per
to,O
get,O
three,O
choices!,O
AIIMS,O
sets,O
up,O
24×7,O
COVID-19,O
helpline,O
number;,O
details,O
https://newseverything.in/lifestyle/delhi-dial-to-get-three-decisions-aiims-units-up-24x7-covid-19-helpline-quantity-particulars/,O
…,O
NEW,O
:,O
20,O
healthcare,O
workers,O
of,O
"AIIMS,",B-geo
Delhi,I-geo
test,O
positive,O
for,O
Corona,O
Virus,O
in,O
24,O
hours.,O
Total,O
624,O
healthcare,O
workers,O
of,O
AIIMS,B-geo
have,O
been,O
tested,O
positive,O
so,O
far.,O
131,O
of,O
them,O
are,O
under,O
treatment,O
in,O
AIIMS,B-geo
Jhajjar,I-org
Campus.,I-org
#COVID19,I-org
#Covid_19https://twitter.com/drasmalhi/status/1272446073022251008,O
…,O
NEW,O
:,O
20,O
healthcare,O
workers,O
of,O
"AIIMS,",B-geo
Delhi,I-geo
test,O
positive,O
for,O
Corona,B-geo
Virus,I-geo
in,O
24,O
hours.,O
Total,O
624,O
healthcare,O
workers,O
of,O
AIIMS,B-geo
have,O
been,O
tested,O
positive,O
so,O
far.,O
131,O
of,O
them,O
are,O
under,O
