Sentence #0,
@,O
MTNLOfficial,B-ORG
@,O
DoT_India,B-ORG
Dear,O
Sir,O
I,O
have,O
been,O
several,O
complaints,O
for,O
network,O
problems,O
on,O
my,O
particular,O
location,O
Gali,B-LOC
no,I-LOC
.,I-LOC
8,I-LOC
subhash,B-LOC
marg,I-LOC
east,B-LOC
ram,I-LOC
nagar,I-LOC
shahdara,B-LOC
DelhI,B-LOC
but,O
problem,O
resolve,O
till,O
now,O
.,O
Regards,O
Sentence #1,
@,O
bsesDelhI,B-ORG
street,O
light,O
is,O
not,O
working,O
for,O
10,O
days,O
pls,O
repair,O
it,O
as,O
early,O
as,O
possible,O
.,O
Dhirender,O
Pratap,B-PER
Singh,I-PER
G,I-PER
39,B-LOC
galI,B-LOC
no,I-LOC
.,I-LOC
4,I-LOC
phase,B-LOC
3,I-LOC
Shiv,B-LOC
vihar,I-LOC
Karawal,B-LOC
nagar,I-LOC
DelhI,B-LOC
-110094,I-LOC
Mob,O
no,O
.,O
9891324104,O
9015233086,O
pic.twitter.com/8iDUzxSQSl,O
Sentence #2,
@,
dtptraffic,B-ORG
This,O
car,O
is,O
parked,O
at,O
n,O
galI,B-LOC
no,I-LOC
.,I-LOC
11,I-LOC
Bhola,B-LOC
Nath,I-LOC
Nagar,I-LOC
Shahdara,B-LOC
Delhi-110032,B-LOC
(,I-LOC
Near,B-LOC
Lucky,I-LOC
Mart,I-LOC
),I-ORG
.,O
This,O
lane,O
is,O
very,O
narrow,O
and,O
it,O
is,O
not,O
possible,O
to,O
pass,O
any,O
other,O
car,O
or,O
emergency,O
vehicle,O
from,O
this,O
road,O
.,O
This,O
car,O
is,O
obstracting,O
traffic,O
movment,O
.,O
Please,O
take,O
actions,O
.,O
pic.twitter.com/M0KOSG1b2N,O
Sentence #3,
Bhalswa,B-LOC
j,I-LOC
j,I-LOC
colony,I-LOC
part,O
2,O
DelhI,B-LOC
42,I-LOC
Block,B-LOC
d1,I-LOC
galI,B-LOC
no,I-LOC
28,I-LOC
ward,O
20,O
pic.twitter.com/DZhMhU0L3K,O
Sentence #4,
Location,O
-,O
P-20,B-LOC
Gali-4,B-LOC
Phase-4,B-LOC
Shiv,B-LOC
Vihar,I-LOC
karawal,B-LOC
Nagar,I-LOC
DelhI,B-LOC
110094,I-LOC
near,O
Rathor,B-LOC
Dhramshala,I-LOC
.,O
Contact,O
-8130218226,O
.,O
Pole,O
Number,O
-,O
KWN,O
Z338,O
.,O
Kindly,O
do,O
it,O
asap,O
because,O
I,O
have,O
already,O
submitted,O
complain,O
but,O
no,O
one,O
is,O
there,O
.,O
Sentence #5,
Gali,B-LOC
No,I-LOC
6,I-LOC
Jain,O
Nagar,B-LOC
Delhi,I-LOC
4,B-LOC
5,O
15,O
@,O
ArvindKejriwal,O
@,O
suraiya95,O
@,O
SatyendarJain,O
Sentence #6,
@,
DelhiJalBoard,B-ORG
@,O
ArvindKejriwal,B-PER
This,O
pipe,O
line,O
is,O
broken,O
and,O
the,O
water,O
is,O
leaking,O
with,O
due,O
respect,O
kindly,O
look,O
into,O
the,O
matter,O
Sentence #7,
NAME,O
:,O
gurjeet,B-PER
singh,I-PER
ADDRESS,O
:,O
A,B-LOC
44,I-LOC
galI,O
no,I-LOC
22,I-LOC
mahendera,I-LOC
park,I-LOC
adarsh,I-LOC
nagar,B-LOC
DelhI,B-LOC
33,I-LOC
CONTACT,O
NO,O
.,O
:,O
9810550544,O
ISSUE,O
:,O
water,O
pipe,O
leakage,O
pic.twitter.com/oS24AgmChA,O
Sentence #8,
@,O
ArvindKejriwal,B-PER
@,O
msisodia,B-PER
@,O
GautamGambhir,B-PER
@,O
PMOIndia,B-PER
@,O
SKBagga2,O
@,O
