Sentence #0,
Sir,O
vijay,O
block,O
gali,B-LOC
no,I-LOC
vikas,B-LOC
marg,I-LOC
DelhI,B-LOC
110092,B-MISC
ke,O
back,O
galI,I-LOC
meh,O
sever,O
ka,O
pani,O
bhar,O
kar,O
macher,O
ho,O
rahey,O
hey,O
apne,O
taraf,O
se,O
aap,O
ke,O
adesh,O
per,O
petrol,O
dal,O
diya,O
hey,O
per,O
khoi,O
sanitary,O
inspector,O
DURA,O
khoi,O
kam,O
nahi,O
hoo,O
raha,O
hey,O
yeh,O
aap,O
dekhey,O
Sentence #1,
@,O
MCDDelhI,O
In,O
C,O
block,O
in,O
front,O
of,O
gali,B-LOC
no,I-LOC
3,O
""",""",O
Ali,B-LOC
vihar,I-LOC
""",""",O
sarita,B-LOC
vihar,I-LOC
new,B-LOC
DelhI,B-LOC
110076,B-MISC
all,O
drain,O
jam,O
since,O
from,O
last,O
2,B-TIM
day,O
no,O
one,O
responded,O
for,O
that,O
please,O
in,O
in,O
image,O
pic.twitter.com/sxdgbpNoj9,O
Sentence #2,
Consumer,O
number,O
-20875,O
Agency,B-ORG
&,O
service,O
provider,O
named,O
-,O
indane,O
gas,O
agency/japneet,O
enterprises/distributors,O
name,O
rajeev,O
chauhan,O
.,O
My,O
location,O
is,O
http,O
:,O
//h.no,O
778,O
/,O
b,O
block,O
/,O
gali,B-LOC
no,I-LOC
.,O
22/,O
ip,B-LOC
colony/burari/delhi-110084,I-LOC
My,O
contact,O
no,O
.,O
8586847594,O
pic.twitter.com/bYGYf6VIPR,O
Sentence #3,
Thanx,O
for,O
your,O
maha,O
abhiyan,O
Sir,O
.,O
Sir,O
yaha,O
wazirabad,B-LOC
gali,B-LOC
no.9,I-LOC
DelhI,B-LOC
110084,B-MISC
mai,O
bohot,O
buri,O
halat,O
hai,O
naale,O
ka,O
nirman,O
karye,O
adhura,O
hone,O
k,O
karan,O
logon,O
ko,O
asuvidha,O
ho,O
rahi,O
hai,O
plz,O
plz,O
plz,O
Sir,O
kuch,O
kariye,O
apka,O
aam,O
shehri,O
.,O
Sentence #4,
@,O
ManojTiwariMP,O
SEWER,O
block,O
in,O
Gali,B-LOC
ni.1,I-LOC
Narang,I-LOC
Colony,I-LOC
Trinagar,I-LOC
DelhI,B-LOC
no,O
solution,O
even,O
after,O
many,O
complain,O
to,O
DJB,B-ORG
.,O
WHAT,O
ABOUT,O
DelhI,B-LOC
KO,O
DUNIYA,O
KA,O
NO,O
.,O
1,I-LOC
SHAHAR,O
BANAYENGE,O
.,O
ONLY,O
JUMLA,O
.,O
Sentence #5,
@,O
LtGovDelhI,B-LOC
SEWER,O
block,O
in,O
Gali,B-LOC
ni.1,I-LOC
Narang,I-LOC
Colony,I-LOC
Trinagar,I-LOC
DelhI,B-LOC
no,O
solution,O
even,O
after,O
many,O
complain,O
to,O
DJB,B-ORG
.,O
WHAT,O
ABOUT,O
DelhI,B-LOC
KO,O
DUNIYA,O
KA,O
NO,O
.,O
1,I-LOC
SHAHAR,O
BANAYENGE,O
.,O
ONLY,O
JUMLA,O
.,O
Sentence #6,
@,O
LtGovDelhI,B-LOC
SEWER,O
block,O
in,O
Gali,B-LOC
ni.1,I-LOC
Narang,I-LOC
Colony,I-LOC
Trinagar,I-LOC
DelhI,B-LOC
no,O
solution,O
even,O
after,O
many,O
complain,O
to,O
DJB,B-ORG
.,O
WHAT,O
ABOUT,O
DelhI,B-LOC
KO,O
DUNIYA,O
KA,O
NO,O
.,O
1,I-LOC
SHAHAR,O
BANAYENGE,O
.,O
ONLY,O
JUMLA,O
.,O
Sentence #7,
@,O
LtGovDelhI,B-LOC
SEWER,O
block,O
in,O
Gali,B-LOC
ni.1,I-LOC
Narang,I-LOC
Colony,I-LOC
Trinagar,I-LOC
DelhI,B-LOC
no,O
solution,O
even,O
after,O
many,O
complain,O
to,O
DJB,B-ORG
.,O
WHAT,O
ABOUT,O
DelhI,B-LOC
KO,O
DUNIYA,O
KA,O
NO,O
.,O
1,I-LOC
SHAHAR,O
BANAYENGE,O
.,O
ONLY,O
JUMLA,O
.,O
Sentence #8,
@,O
LtGovDelhI,B-LOC
SEWER,O
block,O
in,O
Gali,B-LOC
ni.1,I-LOC
Narang,I-LOC
Colony,I-LOC
Trinagar,I-LOC
DelhI,B-LOC
no,O
solution,O
even,O
after,O
many,O
complain,O
to,O
DJB,B-ORG
.,O
WHAT,O
ABOUT,O
DelhI,B-LOC
KO,O
DUNIYA,O
KA,O
NO,O
.,O
1,I-LOC
SHAHAR,O
BANAYENGE,O
.,O
ONLY,O
JUMLA,O
.,O
Sentence #9,
@,O
LtGovDelhI,B-LOC
SEWER,O
block,O
in,O
Gali,B-LOC
ni.1,I-LOC
Narang,I-LOC
Colony,I-LOC
Trinagar,I-LOC
DelhI,B-LOC
no,O
solution,O
even,O
after,O
many,O
complain,O
to,O
DJB,B-ORG
.,O
WHAT,O
ABOUT,O
DelhI,B-LOC
KO,O
DUNIYA,O
KA,O
NO,O
.,O
1,I-LOC
SHAHAR,O
BANAYENGE,O
.,O
ONLY,O
JUMLA,O
.,O
Sentence #10,
@,O
bsesDelhI,O
St,O
.,O
Lights,O
not,O
working,O
""",""",O
Shalesh,B-PER
Kumar,I-PER
Add,O
:,O
-,O
Jain,B-LOC
Colony,I-LOC
""",""",O
Gali,B-LOC
No,I-LOC
.,I-LOC
2,I-LOC
""",""",O
School,O
walI,I-LOC
galI,I-LOC
""",""",O
Johri,B-LOC
pur,I-LOC
""",""",O
DelhI,B-LOC
Mobile,O
:,O
-9899472639,O
pic.twitter.com/xm8FAQvvy9,O
Sentence #11,
@,O
gaur_bhavna,O
@,O
ArvindKejriwal,O
@,O
msisodia,O
galI,I-LOC
m,O
ek,O
side,O
ki,O
aadhi,O
se,O
b,O
kam,O
naaliya,O
banai,O
gayi,O
h,O
from,O
Monday,B-TIM
to,O
Friday,B-TIM
.,O
Roj,O
bas,O
3-4,O
log,O
aate,O
h,O
..,O
thoda,O
sa,O
kaam,O
karte,O
h,O
...,O
jan,O
jeewan,O
astvast,O
ho,O
rakha,O
h,O
..,O
Gali,B-LOC
no,I-LOC
4,I-LOC
""",""",O
Tamilar,B-LOC
Enclave,I-LOC
""",""",O
Palam,B-LOC
""",""",O
New,B-LOC
DelhI,B-LOC
pic.twitter.com/LYCjQTT1FT,O
Sentence #12,
Please,O
help,O
Mr.Anil,B-PER
G.verma,O
please,O
my,O
complaint,O
no,O
my,O
state,O
New,B-LOC
DelhI,B-LOC
Your,0
Distubturs,I-ORG
mr.saket,O
not,O
solved,O
my,O
complaint,O
My,O
ac,O
under,O
A.m.c,O
Your,O
Distubturs,O
Address,O
D381,O
Gali,B-LOC
no-14,O
near,O
Laxmi,B-LOC
dairy,I-LOC
Lalit,I-LOC
park,I-LOC
laxmI,O
nagar,I-LOC
DelhI,B-LOC
your,O
Distubturs,I-ORG
Agency,I-ORG
NAME-H.V,O
AC,O
SERVICE,O
MR.SAKET,B-PER
pic.twitter.com/AIkMjO3d6c,O
Sentence #13,
CA,O
number,O
-,O
103397735,O
...,O
Address,O
is,O
Mahavir,B-LOC
Enclave,I-LOC
""",""",O
33Ft,B-LOC
Road,I-LOC
""",""",O
opposite,O
road,B-LOC
of,O
Aman,I-ORG
Bakery,O
""",""",O
Gali,B-LOC
no,I-LOC
7,O
""",""",O
New,B-LOC
DelhI,B-LOC
-,O
110045,O
..,O
Power,O
cut,O
""",""",O
kindly,O
look,O
into,O
the,O
matter,O
...,O
@,O
bsesDelhI,O
Sentence #14,
According,O
to,O
police,O
my,O
phone,O
last,O
location,O
MSISDN,O
919719837109,I-MISC
Ph,O
ON,O
Last,O
Activity,O
8/29/2019,O
12:44:00,O
PM,O
Cell,O
ID,O
404-11-30061-63011Cell,O
ID,O
Address,O
Plot,O
No,O
A-27,B-LOC
""",""",O
Khasra,B-LOC
No,O
"""898/192,216,217,218""",O
+,O
220-243,O
""",""",O
Village,B-LOC
ChandrawalI,I-LOC
""",""",O
Gali,B-LOC
No,O
03,B-TIM
""",""",O
New,B-LOC
Jagat,I-LOC
PurI,O
Extn,I-LOC
""",""",O
Shahdra,B-LOC
""",""",O
Delhi-93,I-LOC
@,O
DelhiPolic,O
Sentence #15,
@,O
tatapower_ddl,O
Sentence #16,
Street,O
light,O
not,O
working,O
in,O
indraprasth,B-LOC
colony,I-LOC
galI,I-LOC
no,O
.,O
28,I-LOC
B,B-LOC
Block,B-LOC
DelhI,B-LOC
110084,I-LOC
Sentence #17,
CA,O
no,O
.,O
60023037769,O
Sentence #18,
On,O
pol,O
No,O
.,O
414-37/11/2,O
Sentence #19,
Please,O
check,O
and,O
help,O
Sentence #20,
Contact,O
no,O
.,O
9278141215,O
Sentence #21,
But,O
Sir,O
your,O
swachhata,O
app,O
staff,O
is,O
not,O
doing,O
their,O
job,O
they,O
not,O
come,O
to,O
clean,O
roads,O
even,O
after,O
many,O
reminder,O
in,O
R,B-LOC
block,I-LOC
saurabh,I-LOC
vihar,I-LOC
galI,I-LOC
no,O
6,O
badarpur,B-LOC
new,I-LOC
DelhI,B-LOC
110044,O
https,O
:,O
//twitter.com/PMOIndia/status/1170285627201376257,O
Sentence #22,
one,O
water,O
pipe,O
line,O
connecsition,O
since,O
2009,I-TIM
of,O
my,O
wife,O
.28,O
Gali,B-LOC
no,I-LOC
3,O
Jagdamba,B-LOC
colony,I-LOC
village,O
Joharipur,B-LOC
Shahdara,B-LOC
DelhI,B-LOC
110094,I-LOC
.And,O
payrrell,O
sewarge,O
lines,O
layout,O
.So,O
drinking,O
water,O
mix,O
with,O
sewarge,O
pipe,O
line,O
.,O
So,O
requested,O
as,O
human,O
beings,O
