@garimaguptabjp,O
@adeshguptabjp,O
@MCDDelhI,O
@narendramodi,O
@PMOIndia,O
@ArvindKejriwal,O
@SatyendarJain,O
This,O
is,O
the,O
situation,O
of,O
Mahatma,B-geo
GandhI,I-geo
Road,I-geo
Adarsh,B-geo
Nagar,B-geo
DelhI,B-geo
33,O
from,O
past,O
1,O
"""month,authority""",O
waiting,O
for,O
some,O
"""accident,or""",O
for,O
election,O
time,O
to,O
come,O
pic.twitter.com/hk6JaMBeJ0,O
@,O
Delhi,B-geo
police,I-org
Adarsh,B-geo
Nagar,B-geo
can,O
we,O
do,O
something,O
for,O
youth,O
driving,O
bikes,O
without,O
helmets,O
and,O
unauthorised,O
parking.,O
Accident,O
in,O
waiting,O
@Adarsh,B-geo
Nagar,I-org
police.,O
Can,O
we,O
check,O
young,O
children,O
driving,O
bikes,O
without,O
helmets,O
and,O
unauthorised,O
car,O
parking.,O
Accident,O
in,O
waiting.,O
Respect.,O
Docs,O
at,O
aiims,B-geo
DelhI,B-geo
removed,O
&,O
saved,O
life,O
of,O
a,O
man,O
who,O
was,O
victim,O
of,O
an,O
accident,O
at,O
mathura,B-geo
had,O
a,O
iron,O
rod,O
lodged,O
in,O
his,O
brain.,O
A,O
rare,O
successful,O
surgery,O
performed,O
at,O
"""AIIMS,Delhi:""",B-geo
A,O
30,O
year,O
old,O
man,O
duRing,O
his,O
motor,O
bike,O
accident,O
was,O
thrown,O
o...,O
http://bit.ly/bv3It3,O
Aiims,B-geo
flyover,O
is,O
clogged,O
due,O
to,O
some,O
accident,O
#DelhI,B-geo
#traffic,O
via,O
@meerasapra,O
Aiims,B-geo
flyover,O
is,O
clogged,O
due,O
to,O
some,O
accident,O
#DelhI,B-geo
#traffic,O
RT,O
@aanteladda:,O
Hunting,O
for,O
a,O
good,O
driver.,O
#Delhi,B-geo
AIIMS,I-geo
area.,O
Our,O
driver,O
had,O
an,O
accident,O
on,O
his,O
"""bike,broken""",O
kneecap.,O
Hunting,O
for,O
a,O
good,O
driver.,O
#Delhi,B-geo
AIIMS,I-geo
area.,O
Our,O
driver,O
had,O
an,O
accident,O
on,O
his,O
"""bike,broken""",O
kneecap.,O
Hit,O
&,O
run,O
accident,O
on,O
aiims,B-geo
flyover,O
..,O
drive,O
carefully,O
DelhI,B-geo
people..humble,O
request...,O
there,O
are,O
lives,O
at,O
risk..,O
pic.twitter.com/bYAJjdz9bz,O
Can,O
somebody,O
tell,O
me,O
why,O
#rape,O
and,O
