@garimaguptabjp,O
@adeshguptabjp,O
@MCDdelhi,O
@narendramodi,O
@PMOIndia,O
@ArvindKejriwal,O
@SatyendarJain,O
This,B-geo
is,B-geo
the,O
situation,I-geo
of,O
Mahatma,B-geo
Gandhi,I-geo
Road,I-geo
Adarsh,B-geo
Nagar,I-geo
Delhi,I-geo
33,O
from,O
past,O
1,I-geo
"""month,authority""",O
waiting,O
for,O
some,O
"""accident,or""",O
for,O
election,I-geo
time,O
to,B-geo
come,O
pic.twitter.com/hk6JaMBeJ0,O
@,O
Delhi,B-geo
police,I-org
Adarsh,B-geo
Nagar,I-geo
can,O
we,O
do,O
something,O
for,O
youth,I-geo
driving,O
bikes,O
without,O
helmets,O
and,O
unauthorised,O
parking.,O
Accident,O
in,B-geo
waiting,O
@Adarsh,B-geo
"""Nagar,Delhi""",I-org
police.,O
Can,O
we,O
check,O
young,O
children,O
driving,O
bikes,O
without,O
helmets,O
and,O
unauthorised,O
car,O
parking.,O
Accident,O
in,B-geo
waiting.,O
Respect.,O
Docs,I-org
at,O
aiims,B-geo
delhi,I-geo
removed,O
&,O
saved,O
life,O
of,O
a,O
man,I-geo
who,O
was,O
victim,O
of,O
an,O
accident,O
at,O
"""mathura,&""",O
had,O
a,O
iron,O
rod,I-geo
lodged,O
in,B-geo
his,O
brain.,O
A,O
rare,O
successful,O
surgery,O
performed,O
at,O
"""AIIMS,Delhi:""",O
A,O
30,O
year,O
old,B-geo
man,I-geo
during,O
his,O
motor,O
bike,O
accident,O
was,O
thrown,I-geo
o...,O
http://bit.ly/bv3It3,O
Aiims,B-geo
flyover,O
is,B-geo
clogged,O
due,O
to,B-geo
some,O
accident,O
#delhi,I-geo
#traffic,O
via,O
@meerasapra,O
Aiims,B-geo
flyover,O
is,B-geo
clogged,O
due,O
to,B-geo
some,O
accident,O
#delhi,I-geo
#traffic,O
RT,O
@aanteladda:,O
Hunting,O
for,O
a,O
good,O
driver.,O
#Delhi,B-geo
AIIMS,I-geo
area.,I-geo
Our,O
driver,O
had,O
an,O
accident,O
on,O
his,O
"""bike,broken""",O
kneecap.,O
Hunting,O
for,O
a,O
good,O
driver.,O
#Delhi,B-geo
AIIMS,I-geo
area.,I-geo
Our,O
driver,O
had,O
an,O
accident,O
on,O
his,O
"""bike,broken""",O
kneecap.,O
Hit,O
&,I-org
run,O
accident,O
on,O
aiims,B-geo
flyover,O
..,O
drive,O
carefully,O
delhi,I-geo
people..humble,O
request...,O
there,O
are,I-geo
