Sentence #0,
Happy,O
Diwali,O
Sentence #1,
Tragic,O
Accident,O
:,O
Bus,O
Driver,O
Mows,O
Down,O
People,O
After,O
Heart,O
Attack,O
by,O
Lal,B-LOC
Qila,I-LOC
in,O
Delhi,B-LOC
:,O
Watch,O
What,O
Happened,O
:,O
...,O
http,O
:,O
//fb.me/7s284vCSF,O
Sentence #2,
@,O
ArvindKejriwal,O
Sir,O
In,O
Dilshad,B-LOC
Garden,I-LOC
Why,O
Covid,O
patients,O
are,O
home,O
quarantine,O
.,O
Earlier,O
you,O
said,O
DelhI,O
government,O
has,O
good,O
plan,O
and,O
medical,O
facility,O
.,O
GTB,B-LOC
hospital,I-LOC
is,O
nearby,O
but,O
still,O
home,O
quarantine,O
.,O
Please,O
share,O
your,O
views,O
on,O
this,O
.,O
Sentence #3,
Did,O
any,O
one,O
see,O
the,O
photograph,O
of,O
Rajesh,O
Pilot,O
car,O
accident,O
in,O
delhi-jaipur,B-LOC
road,I-LOC
.,O
All,O
the,O
sons,O
of,O
above,O
noble,O
souls,O
of,O
senior,O
congress,O
leaders,O
who,O
were,O
close,O
friends,O
of,O
RG,O
have,O
now,O
been,O
rewarded,O
with,O
ministerial,O
post,O
to,O
wash,O
the,O
sins,O
of,O
catholic,O
lady,O
as,O
ordered,O
by,O
confession,O
box,O
Sentence #4,
KNO,O
:,O
1557730000,O
Sentence #5,
@,O
bsesDelhI,O
@,O
bsesDelhI,O
@,O
ArvindKejriwal,O
@,O
MinistryofPower,O
CA,O
no,O
103452429,O
.,O
Over,O
2,O
hours,O
power,O
cut,O
in,O
area,O
..,O
Mahavir,B-LOC
Enclave,I-LOC
Part,B-LOC
2,I-LOC
New,B-LOC
DelhI,I-LOC
.,B-LOC
110045,B-LOC
Gali,B-LOC
no,I-LOC
4,I-LOC
.,I-LOC
No,O
resolution,O
after,O
making,O
complaint,O
.,O
State,O
government,O
will,O
be,O
no,O
more,O
in,O
the,O
power,O
.,O
Time,O
for,O
change,O
in,O
government,O
.,O
Sentence #6,
1075,O
is,O
not,O
being,O
Connected,O
.,O
Now,O
she,O
Sushila,O
Devi,O
age,O
77,O
yrs,O
.,O
is,O
admit,O
in,O
Tirathram,B-LOC
Shah,I-LOC
Charitable,I-LOC
Hospital,I-LOC
Civil,B-LOC
Lines,I-LOC
Delhi,B-LOC
at,O
bed,O
no.144C,O
.,O
Doctors,O
at,O
Tirathram,B-LOC
says,O
that,O
Delhi,B-LOC
Govt,I-LOC
.,I-LOC
has,O
directed,O
us,O
not,O
to,O
get,O
any,O
Covid,O
Tests,O
.,O
Can,O
you,O
help,O
to,O
get,O
her,O
tested,O
Covid-19,O
?,O
Sentence #7,
@,O
htTweets,O
Six,O
members,O
of,O
a,O
family,O
were,O
killed,O
in,O
a,O
road,O
accident,O
near,O
Badarpur,B-LOC
border,I-LOC
in,O
south,B-LOC
Delhi,I-LOC
.,O
Their,O
car,O
was,O
hit,O
by,O
a,O
truck,O
Sentence #8,
Careless,O
driving,O
of,O
children,O
near,O
Delhi,B-LOC
Gate,I-LOC
red,O
light,O
@,O
ZeeNewsHindi,B-LOC
Delhi,I-LOC
police,O
is,O
helpless,O
or,O
careless,O
responsible,O
for,O
this,O
accident,O
allow,O
children,O
to,O
drive,O
dangerously,O
I,O
am,O
crossing,O
that,O
redlight,O
regularly,O
Sentence #9,
Do,O
kaudi,O
ke,O
kavi,O
....,O
tum,O
CM,O
hote,O
to,O
kya,O
karte,O
....,O
Covid,O
patients,O
ko,O
Banglore,B-LOC
se,O
Delhi,B-LOC
lake,I-LOC
treatment,O
dete,O
?,O
?,O
?,O
Tum,O
woh,O
Oont,O
ho,O
pahad,O
dekhke,O
hin,O
heenana,O
jante,O
ho,O
....,O
Waise,O
bhi,O
tumko,O
Anna,B-LOC
ke,O
saath,O
nagpur,B-LOC
ashram,I-LOC
mein,O
hona,O
chahiye,O
.,O
Khulle,B-LOC
mein,O
mat,O
ghoomo,O
...,O
Sentence #10,
Radar,B-LOC
helps,O
determine,O
the,O
direction,O
of,O
the,O
plane,O
claiming,O
that,O
the,O
plane,O
may,O
break,O
if,O
a,O
