0,We #Agra_ites commend you on this latest success and we look forward to seeing even more great things from you.Congratulations to #Covid_special_team #health_workers #agra_police and all the people of #Agra to help achieving this milestone.@PrabhuNs_ @agrapolice @OfficeOfDMAgrahttps://twitter.com/PrabhuNs_/status/1287784234573115392 …
1,We #Agra_ites commend you on this latest success and we look forward to seeing even more great things from you.Congratulations to #Covid_special_team #health_workers #agra_police and all the people of #Agra to help achieving this milestone.#Agra_Model @agrapolice @OfficeOfDMAgra
2,"#फायर_सर्विस टीम आगरा द्वारा #COVID__19 के संक्रमण के विरुद्ध लगातार किए जा रहा है प्रयास-
आज #SSP_AGRA @IpsBablooKumar के निर्देशन में नगर निगम के सहयोग से विभिन्न #हॉटस्पॉट_एरिया को सैनिटाइज कर #जनपद_आगरा के निम्नलिखित क्षेत्रों को पूर्णत: सैनिटाइज किया गया।
@Uppolicepic.twitter.com/cNsibqo2tI"
3,"In the beginning of covid, agra was in critical situation but now recovered...kudos to covid warriors "
4,"Wah fake news failana communist wale ki janm sidh adhikar hai.
Case of covid in agra more .
Isilye logo ne bheed wale samsaan pe sao jalane k liye mana kiya gaya hai.
Or ye uske family se puch liya gaya tha .
Phir baad me jaha bheed na ho waha pe antim sanskar kiya gaya"
5,"वैश्विक महामारी #COVID__19 के संक्रमण से बचाव हेतु #आगरा_पुलिस द्वारा जनपद में विभिन्न स्थानों पर की जा रही है चेकिंग।

अनावश्यक बाहर न निकलने की अपील करते हुए #थाना_न्यू_आगरा क्षेत्र में #सोशल_डिस्टेंसिंग का पूर्णत: कराया जा रहा है पालन।pic.twitter.com/Ki967ERUns"
6,"वैश्विक महामारी #COVID__19 के संक्रमण से बचाव हेतु #आगरा_पुलिस द्वारा जनपद में विभिन्न स्थानों पर की जा रही है चेकिंग।

अनावश्यक बाहर न निकलने की अपील करते हुए #थाना_अछनेरा क्षेत्र में #सोशल_डिस्टेंसिंग का पूर्णत: कराया जा रहा है पालन।pic.twitter.com/PrDMvTpY6o"
7,"Melhore estar no canil isolado
Doq ser uma cigarra no litoral cheio de aglomerações & covid.
Bjs cigarras
Fiquem nas sua árvores residenciais"
8,"#Start_ALP_Joining_Training
#OnlineTraining_For_ALP 
It's a humble request from NCR officials that pls be digital in the era of digital india and COVID pandemic and start online theory training for ALP candidates of NCR
@GMNCR1 @GM_NRly @DRM_Agra @drmpagra @PiyushGoyal"
9,"वैश्विक महामारी #COVID__19 के संक्रमण से बचाव हेतु #आगरा_पुलिस द्वारा जनपद में विभिन्न स्थानों पर की जा रही है चेकिंग।

अनावश्यक बाहर न निकलने की अपील करते हुए #थाना_खंदौली क्षेत्र में #सोशल_डिस्टेंसिंग का पूर्णत: कराया जा रहा है पालन।pic.twitter.com/SovDHszlCv"
10,"वैश्विक महामारी #COVID__19 के संक्रमण से बचाव हेतु #आगरा_पुलिस द्वारा जनपद में विभिन्न स्थानों पर की जा रही है चेकिंग।

अनावश्यक बाहर न निकलने की अपील करते हुए #थाना_शाहगंज क्षेत्र में #सोशल_डिस्टेंसिंग का पूर्णत: कराया जा रहा है पालन।pic.twitter.com/OOl4qxRFFg"
11,"@PrabhuNs and @CMOfficeUP
 SN Medical College, Agra covid-19 is the best treatment Dr. Prashant Gupta, Dr. Anamika Mishra, Dr. Apoorva Mittal, Dr. Rajeev Puri and all resident are giving their full support to covid-19 department for which I am very thankful."
12,"Twenty-seven more #novelcoronavirus cases were reported in #Agra in the last 24-hour cycle, taking the active cases in the district to 197, health officials said on Monday.

#COVIDー19 #COVID__19pic.twitter.com/5m4yMuxv6D"
13,"Bos, sesusah apa sih memahami kalau sains tuh bukan tentang opini la u.

“Menurut ane sih pesawat bisa terbang karena pake jin”

“Menurut ane sih covid riil, cuman ya cuman. Ini menurut ane loh gan  seberapapun menyebalkannya, orang2 harus berani menerima perbedaan pendapat ” pic.twitter.com/mLsSOEnmkT"
14,"123 new Covid-19 +ve cases in Bareilly, five UP roadways staff infected in Kheri http://toi.in/6oyiob "
0,"@AAI_Official Do we indians deserve a waiting hall in Ahmedabad Airport. In this critical covid situation No fan, no mosquito repellent spray, not a proper washroom for passengers who arrive early in airport from different parts of Gujrat state.

@ahmedabadmirror @HardeepSPuri"
1,"Understand the chronology

30th Jan - India's 1st case detected in Kerala.
30th Jan - WHO declares Covid a Global Health emergency
12th Feb- Rahul warns Govt, says tsunami is coming.
Modi instead of focusing on Covid prepared for Namaste Trump between 24-25 at Ahmedabad..."
2,"Top Gujarat District #COVID19 CASES UPDATE -- Ahmedabad  Total Cases: 25876, Recovered: 20954, Deaths: 1579.  Surat  Total Cases: 11930, Recovered: 8051, Deaths: 367.  Vadodara  Total Cases: 4276, Recovered: 3382, Deaths: 70."
3,"@HDFCCreditCard  my self Shashank harani from ahmedabad.i have redeem my card point in March
But due to covid -19 I haven't received.but now unlock 2 has completed.and I m also receiving my old bill so I request to the company that plz release my redeem coupan immediately."
4,Sir @PiyushGoyal I m travelling from mumbai to jodhpur in surynagari train ... now train @ ahmedabad junction ..  still there is no checking in compartment during covid 19 pandemic !!!  About 7th hours gone !! This is condition @WesternRly
5,"Mandatory Covid duty for MBBS students: With no other option, Surat’s GMC spares the rod, gets volunteers

https://ahmedabadmirror.indiatimes.com/ahmedabad/others/surats-gmc-spares-the-rod-gets-volunteers/articleshow/77187220.cms …"
6,"For the first time I found that Google maps are not correctly updated about locations in Ahmedabad. It could not spot correct McDonalds

Covid effect?"
7,"Active COVID surveillance & SPO2 Checking carried out by PHC Kuha in various parts of Ahmedabad District 
#AhmedabadFightsCorona #MondayMotivation #COVID19pic.twitter.com/aYxAqQrlnZ"
8,"Hi, Sorry to bother you again but do I need to have a negative COVID-19 PCR test result if I'm transiting through Abu Dhabi. I'm departing from Chicago and final destination is Ahmedabad NOT Abu Dhabi."
9,"ભારતીય પ્રવબંધન સંસ્થાન અમદાવાદે  રાજ્યમાં ધનવંતરી રથ શરૂ કરવાના પગલાંને કોરોના નિયંત્રણ રાખવાની દિશામાં મહત્વનું પગલું ગણાવ્યું

#ahmedabad
#gujaratfightscovid19
#COVID__19pic.twitter.com/B5NpmWpog8"
10,"1052 new #coronavirus cases reported in #Gujarat in last 24 hours.

#Surat: 244
#Ahmedabad: 184

#COVID19 #Covid_19 #GujaratCoronaUpdate #TV9Newspic.twitter.com/vs4JACYnKb"
11,"Gujarat records 1,052 new Covid-19 cases, taking the total number of cases in the state to 56,874; 22 deaths take toll to 2,348. #CoronavirusOutbreak #Gujarat"
12,"Hello @prathod2008 @CollectorAhd @Rishira32057068 @IIMAhmedabad @ahmedabad @ahmedabadmirror @MICA_Ahmedabad @GujaratTourism @tv9gujarati @DeshGujarat,

Group: A-
City: #Ahmedabad
Donors List: https://is.gd/IcWphd 

Follow us: @ELister_social"
13,"#COVID__19 : The new cases in #Gujarat include 258 from #Surat, 184 from #Ahmedabad, 96 from #Vadodara, 74 from #Rajkot and 30 from #Surendranagar #GujaratCoronaUpdate"
14,"@narendramodi
@PMOIndia
@CMOGuj
@vijayrupanibjp
@Nitinbhai_Patel
  thanks to all respected and honorable sir for announcement of covid insurance for all parthi doctor and hospital staff in gujarat.
Dr vasant patel.
Dhwani hospital,odhav, ahmedabad
Mob.9428018840 pic.twitter.com/4A8syJIACi"
15,"@narendramodi @PMOIndia @CMOGuj @vijayrupanibjp @Nitinbhai_Patel  thanks to all respected and honorable sir for announcement of covid insurance for all parthi doctor and hospital staff in gujarat.
Dr vasant patel.
Dhwani hospital,odhav, ahmedabad https://twitter.com/vasant69/status/1270681808867393536 …pic.twitter.com/ZjuZ4eABlc"
16,"#COVID__19 : #Gujarat recorded deaths of 22 Covid-19 positive patients in 24 hours, taking the death toll to 2,348. The deaths include nine from #Surat, four from #Ahmedabad, three from #Vadodara, two from #Patan and one each from #Bhavnagar, #Junagadh, #Mehsana and #Panchmahal"
17,@AshishVid Satyajit Chakraverti here from Ahmedabad... AntiCOVID Consultants is our effort in the War against COVID-19
18,"Sir, I need to do COVID-19 test. I came from Philippines to Ahmedabad yesterday. I kept calling on 104, but it's getting disconnected. Please provide some alternative communication mode. So I can request fro test."
0,"#अहमदनगर जिल्ह्यात आज एकाच दिवशी तब्बल ४६५ डिस्चार्ज देण्यात आला आहे. त्यामुळे जिल्ह्यात एकूण बरे झालेल्या रुग्णांची संख्या १९४५ झाली आहे.
@InfoAhmednagar @mrhasanmushrif #coronavirus #COVID__19 #COVID19India #COVID #Ahmednagar #Maharashtra #MaharashtraFightsCorona #CoronaUpdates"
1,"@MirrorNow SOS- Pravara rural medical college, Loni, Ahmednagar, Maharashtra has 56 or more positive covid-19 cases.Why not declared containment zone? Both patients and medical staff will be affected. Please investigate "
2,My uncle Mr laximan vithoba Gaikwad age 56yrs covid 19 negative 25/7/20 SARI diagnosed but no bed to him in Ahmednagar his spo2 saturation is dicresing and have chest pain I am doing work of covid 19 in gov I am very painful because he asks for treatment
3,"Very Nice Situation in Ahmednagar District for CORONA Covid 19. (Wednesday 428, Thursday 151 & Friday 17.)
But one thing I did not get that is this Covid 19 Patient Affected no. are true?
Or.........
@CMOMaharashtra @drharshvardhan @rajeshtope11 @_Rahuld @DeshpandeRJ @AkshayParshpic.twitter.com/dekihbKHd0"
